ticker,full_10y,dva_shares,dva_spent,dva_cash,dva_avg_price,dva_trades,P_end,A_P_dca,A_extra_shares,A_mix_shares,A_mix_avg_price,A_dca_pure_shares,A_eff_mix,A_eff_dca,A_improvement,B_P_dca,B_extra_shares,B_mix_shares,B_mix_avg_price,B_dca_pure_shares,B_eff_mix,B_eff_dca,B_improvement,n_months,monthly_budget,n_days
3011.T,True,7700,921314.5420074463,5078685.457992554,119.65123922174627,77,148.84239196777344,122.36551187476333,41500,49200,121.94071717093748,49000,1.2205076141357423,1.2155462010701497,1.0040816326530613,128.58055572509767,39400,47100,127.12077362157737,46600,1.1684127769470214,1.1560092442830403,1.0107296137339055,120,50000.0,2465
8844.T,True,4000,1514681.7657470703,4485318.23425293,378.6704414367676,40,1132.1575927734375,463.38318651775984,9600,13600,438.4676732586445,12900,2.566223876953125,2.4341388244628908,1.054263565891473,544.0841693878174,8200,12200,489.85016022353875,11000,2.3020537719726564,2.075622253417969,1.1090909090909091,120,50000.0,2465
2991.T,False,2700,763431.7718505859,5236568.22814941,282.7525080928096,27,667.6682739257812,296.10232194739194,17600,20300,294.32673094210264,20200,2.2589443267822267,2.2478165222167967,1.004950495049505,345.5303059330693,15100,17800,336.0078309797715,17300,1.9807492126464843,1.925110189819336,1.0289017341040463,54,111111.11111111111,1088
8869.T,True,4400,1858467.9260253906,4141532.0739746094,422.3790740966797,44,1087.892333984375,527.2940293033566,7800,12200,489.45584873701415,11300,2.212047745768229,2.0488638956705727,1.0796460176991152,600.463086827596,6800,11200,530.5015103975932,9900,2.0307323567708333,1.7950223510742187,1.1313131313131313,120,50000.0,2465
8904.T,True,3500,2106241.0430908203,3893758.9569091797,601.7831551688058,35,846.260009765625,708.8064064752488,5400,8900,666.7186110176588,8400,1.2552856811523438,1.184764013671875,1.0595238095238098,717.6715391794841,5400,8900,672.0974555797791,8300,1.2552856811523438,1.1706596801757811,1.0722891566265063,120,50000.0,2465
2370.T,True,12500,795600.0,5204400.0,63.648,125,29.0,64.8518918918919,80200,92700,64.68955479751597,92500,0.44805,0.44708333333333333,1.0021621621621621,79.57083333333334,65400,77900,77.0158215661104,75400,0.37651666666666667,0.36443333333333333,1.03315649867374,120,50000.0,2465
4588.T,True,3600,2107200.0,3892800.0,585.3333333333334,36,1384.0,808.8918918918919,4800,8400,713.081081081081,7400,1.9376,1.7069333333333334,1.135135135135135,1007.7083333333334,3800,7400,802.2286036036037,5900,1.7069333333333334,1.3609333333333333,1.2542372881355932,120,50000.0,2465
4013.T,False,3700,1906720.8618164062,4093279.1381835905,515.3299626530828,37,1228.0,572.8050122307342,7100,10800,553.1144859865389,10400,2.2104,2.1285333333333334,1.0384615384615383,713.9705800858754,5700,9400,635.7822519474357,8400,1.9238666666666666,1.7192,1.119047619047619,63,95238.09523809524,1278
4893.T,False,4900,1051900.0,4948100.0,214.6734693877551,49,133.0,200.6304347826087,24600,29500,202.9630066322771,29900,0.6539166666666667,0.6627833333333333,0.9866220735785954,242.06451612903226,20400,25300,236.75953079178885,24700,0.5608166666666666,0.5475166666666667,1.0242914979757085,31,193548.38709677418,615
4881.T,False,8200,1437100.0,4562900.000000001,175.2560975609756,82,82.0,174.23546511627907,26100,34300,174.47946470947184,34400,0.46876666666666666,0.47013333333333335,0.997093023255814,224.31967213114754,20300,28500,210.20313488639633,26700,0.3895,0.3649,1.0674157303370786,61,98360.65573770492,1227
3911.T,True,5600,1723407.632446289,4276592.367553711,307.7513629368373,56,224.0,351.6126016953412,12100,17700,337.7355996022552,17000,0.6608,0.6346666666666667,1.0411764705882354,395.4914194107056,10800,16400,365.5314001269457,15100,0.6122666666666666,0.5637333333333333,1.086092715231788,120,50000.0,2465
2385.T,True,8100,1756705.168914795,4243294.831085205,216.87718134750554,81,225.40817260742188,267.76226678916385,15800,23900,250.51669389889472,22400,0.8978758875528972,0.8415238444010417,1.0669642857142858,340.8341330210368,12400,20500,291.8560204085684,17600,0.7701445897420247,0.6611973063151042,1.164772727272727,120,50000.0,2465
