threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.6,0.35,0.45,0.15,0.1,0.1,343,11933.769764900208,48066.23023509979,151,34.7923316760939
0.45,0.7,0.45,0.45,0.15,0.15,0.3,343,10905.19176197052,49094.80823802948,159,31.793561988252247
0.4,0.7,0.45,0.25,0.15,0.15,0.3,343,10150.418453216553,49849.58154678345,163,29.593056714917065
0.4,0.6,0.45,0.25,0.1,0.15,0.3,343,10122.786184310913,49877.21381568909,158,29.512496164171758
0.4,0.7,0.35,0.25,0.2,0.15,0.1,342,12002.299958229065,47997.700041770935,157,35.094444322307204
0.45,0.6,0.45,0.35,0.15,0.15,0.2,342,10166.715640068054,49833.284359931946,153,29.72723871364928
0.4,0.7,0.35,0.35,0.2,0.15,0.2,341,12401.13885974884,47598.86114025116,157,36.36697612829572
0.45,0.6,0.45,0.45,0.1,0.15,0.3,341,10435.407625198364,49564.592374801636,151,30.602368402341245
0.45,0.8,0.45,0.45,0.1,0.15,0.2,341,10402.85322189331,49597.14677810669,201,30.506900943968652
0.4,0.8,0.35,0.45,0.15,0.15,0.2,340,12160.273895263672,47839.72610473633,201,35.76551145665786
0.5,0.8,0.45,0.45,0.2,0.15,0.1,340,11379.123805999756,48620.876194000244,190,33.468011194116926
0.4,0.6,0.45,0.45,0.1,0.1,0.3,340,10483.097949028015,49516.902050971985,153,30.832641026552984
0.4,0.6,0.45,0.35,0.15,0.1,0.2,340,10098.881464958191,49901.11853504181,154,29.70259254399468
0.4,0.6,0.35,0.45,0.15,0.15,0.3,339,11945.841438293457,48054.15856170654,151,35.238470319449725
0.4,0.7,0.45,0.25,0.15,0.1,0.1,339,9586.411052703857,50413.58894729614,161,28.278498680542352
0.45,0.7,0.45,0.25,0.15,0.15,0.1,339,9544.05234336853,50455.94765663147,160,28.153546735600383
0.45,0.7,0.35,0.45,0.15,0.15,0.1,338,11932.796029090881,48067.20397090912,154,35.304130263582486
0.4,0.8,0.45,0.25,0.1,0.15,0.2,338,9706.360801696777,50293.63919830322,210,28.7170437920023
0.4,0.6,0.45,0.25,0.1,0.1,0.1,338,9454.75260925293,50545.24739074707,158,27.972640855777897
0.4,0.7,0.35,0.45,0.15,0.1,0.1,337,11872.817231178284,48127.182768821716,154,35.23091166521746
0.45,0.7,0.45,0.35,0.15,0.15,0.2,337,10141.860441207886,49858.139558792114,158,30.094541368569395
0.4,0.7,0.45,0.35,0.15,0.1,0.2,337,10139.639938354492,49860.36006164551,159,30.087952339330837
0.5,0.7,0.45,0.45,0.1,0.15,0.1,337,10101.812246322632,49898.18775367737,157,29.975703995022645
0.4,0.8,0.45,0.35,0.1,0.15,0.3,337,10010.015882492065,49989.984117507935,193,29.703311224012065
0.45,0.6,0.45,0.25,0.1,0.15,0.1,337,9403.580631256104,50596.4193687439,157,27.90380009274808
0.4,0.6,0.35,0.35,0.15,0.15,0.2,336,11448.51526927948,48551.48473072052,151,34.07296211095083
0.45,0.8,0.45,0.45,0.2,0.1,0.1,336,11318.80276298523,48681.19723701477,194,33.68691298507509
0.4,0.7,0.45,0.45,0.1,0.05,0.1,336,10089.57850265503,49910.42149734497,161,30.028507448378065
0.45,0.7,0.45,0.45,0.1,0.1,0.1,336,10070.797872543335,49929.202127456665,159,29.972612715902784
0.45,0.6,0.45,0.35,0.1,0.15,0.2,336,9877.102648735046,50122.89735126495,152,29.396138835520972
