threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.6,0.45,0.35,0.1,0.1,0.1,652,10666.49069404602,49333.50930595398,285,16.359648303751566
0.4,0.8,0.45,0.25,0.15,0.15,0.1,652,10385.679359436035,49614.320640563965,401,15.928956072754655
0.45,0.6,0.45,0.35,0.1,0.15,0.1,651,10563.410028457642,49436.58997154236,279,16.226436295633857
0.4,0.7,0.45,0.35,0.15,0.1,0.1,649,11993.55267238617,48006.44732761383,298,18.480050342659737
0.4,0.8,0.45,0.25,0.1,0.15,0.1,649,10183.20869255066,49816.79130744934,405,15.690614318259875
0.4,0.6,0.45,0.45,0.2,0.05,0.1,646,16712.040051460266,43287.959948539734,271,25.870031039412176
0.4,0.7,0.45,0.45,0.2,0.15,0.2,646,15337.25606250763,44662.74393749237,281,23.741882449702214
0.5,0.7,0.45,0.45,0.2,0.15,0.1,643,16677.094049453735,43322.905950546265,275,25.936382658559463
0.45,0.7,0.45,0.35,0.1,0.15,0.1,643,10551.280018806458,49448.71998119354,297,16.40945570576432
0.4,0.6,0.35,0.35,0.15,0.15,0.1,640,15847.108716964722,44152.89128303528,277,24.761107370257378
0.4,0.6,0.45,0.45,0.15,0.15,0.2,640,11967.63802909851,48032.36197090149,266,18.699434420466424
0.4,0.7,0.45,0.35,0.1,0.1,0.1,640,10550.3626871109,49449.6373128891,300,16.484941698610783
0.45,0.7,0.45,0.45,0.2,0.1,0.1,636,16419.77471923828,43580.22528076172,277,25.817255847858934
0.5,0.6,0.45,0.45,0.15,0.15,0.1,635,13289.333353042603,46710.6666469574,258,20.928084020539533
0.4,0.7,0.35,0.35,0.2,0.15,0.1,634,17394.72871208191,42605.27128791809,285,27.436480618425723
0.4,0.7,0.45,0.45,0.2,0.05,0.1,633,16402.968720436096,43597.031279563904,279,25.9130627495041
0.4,0.6,0.45,0.45,0.1,0.15,0.2,632,10976.328700065613,49023.67129993439,265,17.36760870263546
0.45,0.6,0.45,0.45,0.15,0.1,0.1,630,13212.170686721802,46787.8293132782,262,20.971699502733017
0.4,0.6,0.45,0.45,0.15,0.05,0.1,625,12984.580023765564,47015.419976234436,264,20.775328038024902
0.5,0.6,0.45,0.45,0.1,0.15,0.1,624,11626.11803817749,48373.88196182251,257,18.631599420156235
0.4,0.7,0.45,0.45,0.15,0.15,0.2,622,11756.09336566925,48243.90663433075,274,18.900471648985935
0.45,0.6,0.35,0.45,0.2,0.15,0.1,620,20487.378742218018,39512.62125778198,255,33.044159261641965
0.4,0.6,0.35,0.35,0.1,0.15,0.1,620,12985.630027770996,47014.369972229004,271,20.944564560920963
0.45,0.6,0.45,0.45,0.1,0.1,0.1,619,11551.031372070312,48448.96862792969,260,18.660793815945578
0.4,0.7,0.35,0.35,0.15,0.15,0.1,618,15375.424715042114,44624.575284957886,283,24.8793280178675
0.5,0.7,0.45,0.45,0.15,0.15,0.1,616,12871.278687477112,47128.72131252289,268,20.89493293421609
0.4,0.6,0.45,0.45,0.1,0.05,0.1,616,11532.510705947876,48467.489294052124,262,18.72160828887642
0.4,0.7,0.45,0.45,0.1,0.15,0.2,615,10833.651371955872,49166.34862804413,276,17.615693287733123
0.4,0.6,0.35,0.45,0.2,0.1,0.1,614,20210.74940776825,39789.25059223175,257,32.91652998007858
0.45,0.7,0.45,0.45,0.15,0.1,0.1,614,12869.608689308167,47130.39131069183,271,20.960274738286916
0.4,0.7,0.45,0.45,0.15,0.05,0.1,610,12820.650689125061,47179.34931087494,272,21.017460146106657
0.45,0.8,0.45,0.35,0.2,0.15,0.1,608,12454.49135017395,47545.50864982605,342,20.484360773312417
0.5,0.7,0.45,0.45,0.1,0.15,0.1,607,11444.885372161865,48555.114627838135,268,18.854835868470946
0.45,0.6,0.35,0.45,0.15,0.15,0.1,606,18473.562755584717,41526.43724441528,254,30.484426989413723
0.4,0.8,0.45,0.35,0.2,0.1,0.1,604,12397.846017837524,47602.153982162476,345,20.526235128870074
0.4,0.6,0.35,0.45,0.15,0.1,0.1,602,18429.57342147827,41570.42657852173,256,30.613909338003772
0.45,0.7,0.45,0.45,0.1,0.1,0.1,602,11362.665370941162,48637.33462905884,270,18.874859420168043
